Datum;Downfall
2019-12-29;0.0
2019-12-30;0.0
2019-12-31;0.0
2020-01-01;0.0
2020-01-02;0.0
2020-01-03;0.3
2020-01-04;0.2
2020-01-05;0.3
2020-01-06;0.0
2020-01-07;0.3
2020-01-08;0.3
2020-01-09;7.1
2020-01-10;6.6
2020-01-11;0.0
2020-01-12;3.3
2020-01-13;0.0
2020-01-14;2.8
2020-01-15;0.7
2020-01-16;0.0
2020-01-17;0.3
2020-01-18;0.0
2020-01-19;0.0
2020-01-20;0.0
2020-01-21;0.0
2020-01-22;0.0
2020-01-23;0.0
2020-01-24;0.0
2020-01-25;0.0
2020-01-26;0.0
2020-01-27;5.1
2020-01-28;2.1
2020-01-29;0.0
2020-01-30;10.5
2020-01-31;2.2
2020-02-01;0.3
2020-02-02;0.0
2020-02-03;3.7
2020-02-04;1.0
2020-02-05;0.0
2020-02-06;0.0
2020-02-07;0.0
2020-02-08;0.0
2020-02-09;2.3
2020-02-10;0.4
2020-02-11;0.2
2020-02-12;0.0
2020-02-13;0.0
2020-02-14;0.0
2020-02-15;2.1
2020-02-16;7.1
2020-02-17;2.0
2020-02-18;0.4
2020-02-19;0.4
2020-02-20;3.9
2020-02-21;0.5
2020-02-22;1.1
2020-02-23;0.2
2020-02-24;1.4
2020-02-25;2.1
2020-02-26;0.5
2020-02-27;0.0
2020-02-28;0.8
2020-02-29;0.8
2020-03-01;0.0
2020-03-02;4.7
2020-03-03;3.2
2020-03-04;0.2
2020-03-05;0.0
2020-03-06;4.4
2020-03-07;1.4
2020-03-08;0.2
2020-03-09;0.5
2020-03-10;2.9
2020-03-11;0.1
2020-03-12;0.0
2020-03-13;0.0
2020-03-14;0.0
2020-03-15;0.0
2020-03-16;0.5
2020-03-17;0.0
2020-03-18;0.0
2020-03-19;0.0
2020-03-20;0.0
2020-03-21;0.0
2020-03-22;0.0
2020-03-23;0.0
2020-03-24;0.0
2020-03-25;0.0
2020-03-26;0.0
2020-03-27;0.0
2020-03-28;0.7
2020-03-29;0.0
2020-03-30;0.0
2020-03-31;0.1
2020-04-01;0.0
2020-04-02;0.8
2020-04-03;0.0
2020-04-04;0.0
2020-04-05;0.0
2020-04-06;0.0
2020-04-07;0.0
2020-04-08;0.0
2020-04-09;0.0
2020-04-10;0.0
2020-04-12;0.0
2020-04-13;0.1
2020-04-14;0.0
2020-04-15;0.0
2020-04-16;0.0
2020-04-17;0.0
2020-04-18;0.0
2020-04-19;0.0
2020-04-20;0.0
2020-04-21;0.0
2020-04-22;0.0
2020-04-23;0.0
2020-04-24;0.3
2020-04-25;0.4
2020-04-26;0.0
2020-04-27;0.9
2020-04-28;1.1
2020-04-29;0.0
2020-04-30;6.9
2020-05-01;0.1
2020-05-02;0.4
2020-05-03;0.0
2020-05-04;1.3
2020-05-05;0.0
2020-05-06;0.0
2020-05-07;0.0
